0 0.499049 -1.03564 -0.536595
1 1.87087 -2.41093 -0.54006
2 1.90316 -2.44238 -0.539224
3 1.91025 -2.44947 -0.539219
4 1.82973 -2.37045 -0.540712
5 1.90213 -2.44211 -0.539974
6 1.90595 -2.44611 -0.540157
7 1.88972 -2.43013 -0.540411
8 1.84031 -2.38069 -0.540379
9 1.82908 -2.37114 -0.542055
10 1.88007 -2.42064 -0.540566
11 1.84049 -2.38148 -0.540993
12 1.86006 -2.40037 -0.540305
13 1.80655 -2.3468 -0.540245
14 1.86072 -2.40165 -0.54093
15 1.86135 -2.40267 -0.54132
16 1.904 -2.44501 -0.541013
17 1.85915 -2.40016 -0.541016
18 1.87895 -2.41974 -0.540793
19 1.89332 -2.43402 -0.540697
20 1.90232 -2.44356 -0.541237
21 1.84678 -2.38809 -0.541312
22 1.81256 -2.3542 -0.541638
23 1.89424 -2.43481 -0.540577
24 1.85219 -2.39323 -0.541045
25 1.852 -2.39303 -0.541027
26 1.84738 -2.38822 -0.540839
27 1.87938 -2.41959 -0.540206
28 1.87276 -2.41345 -0.540686
29 1.85136 -2.39173 -0.540374
30 1.83224 -2.37301 -0.540767
31 1.88286 -2.42358 -0.540716
32 1.88264 -2.42216 -0.539518
33 1.80589 -2.34668 -0.540784
34 1.86951 -2.40983 -0.540328
35 1.89316 -2.43221 -0.539054
36 1.87688 -2.4167 -0.539817
37 1.85127 -2.39126 -0.539994
38 1.87426 -2.41445 -0.54019
39 1.86129 -2.40154 -0.540244
40 1.81541 -2.35641 -0.540997
41 1.83615 -2.3761 -0.539952
42 1.8758 -2.4149 -0.539101
43 1.84227 -2.38193 -0.539666
44 1.86476 -2.40337 -0.538617
45 1.8503 -2.39017 -0.539871
46 1.85492 -2.39447 -0.539546
47 1.88771 -2.42668 -0.538969
48 1.85137 -2.3912 -0.539829
49 1.84385 -2.38427 -0.540426
50 1.90183 -2.44123 -0.5394
51 1.88966 -2.42821 -0.53855
52 1.86586 -2.4052 -0.539342
53 1.83349 -2.37359 -0.540104
54 1.81821 -2.35848 -0.540273
55 1.78303 -2.32439 -0.541355
56 1.82176 -2.36244 -0.540674
57 1.84334 -2.38339 -0.540053
58 1.86998 -2.41008 -0.540101
59 1.85958 -2.40015 -0.540571
60 1.90707 -2.44752 -0.540443
61 1.87516 -2.4153 -0.540139
62 1.8754 -2.41594 -0.54054
63 1.90085 -2.4411 -0.540255
64 1.81859 -2.35981 -0.541223
65 1.91646 -2.45635 -0.539885
66 1.86202 -2.40252 -0.5405
67 1.90871 -2.44855 -0.539845
68 1.80267 -2.34385 -0.541175
69 1.83145 -2.37192 -0.540469
70 1.8143 -2.35516 -0.540869
71 1.86576 -2.40575 -0.539985
72 1.80289 -2.34413 -0.541239
73 1.84445 -2.38534 -0.540887
74 1.84767 -2.38858 -0.540908
75 1.86218 -2.40302 -0.540843
76 1.87546 -2.41659 -0.541128
77 1.82583 -2.3672 -0.541373
78 1.84179 -2.38331 -0.541518
79 1.90609 -2.44644 -0.540347
80 1.83617 -2.37723 -0.541069
81 1.89236 -2.43305 -0.540688
82 1.83751 -2.37849 -0.540979
83 1.85367 -2.3947 -0.54103
84 1.88506 -2.42631 -0.541252
85 1.88525 -2.42623 -0.540977
86 1.86416 -2.40582 -0.541663
87 1.87682 -2.41809 -0.541267
88 1.83812 -2.38031 -0.54219
89 1.84549 -2.3862 -0.54071
90 1.80308 -2.34496 -0.541889
91 1.88799 -2.429 -0.541011
92 1.90027 -2.44124 -0.540973
93 1.88616 -2.42693 -0.54077
94 1.89059 -2.43285 -0.542261
95 1.85617 -2.39754 -0.541369
96 1.87353 -2.41582 -0.542295
97 1.85482 -2.39694 -0.542115
98 1.85139 -2.3923 -0.540906
99 1.7967 -2.33927 -0.542562
